NEIGHBORHOOD,LONGITUDE,LATITUDE
La Seu,-0.373611,39.4805
La Seu,-0.374036,39.47998
La Seu,-0.374526,39.47938
La Seu,-0.374808,39.47902
La Seu,-0.374887,39.47897
La Seu,-0.376133,39.47896
La Seu,-0.37686,39.4774
La Seu,-0.376889,39.47732
La Seu,-0.376875,39.47661
La Seu,-0.378275,39.47665
La Seu,-0.378982,39.47657
La Seu,-0.379086,39.47656
La Seu,-0.379156,39.47655
La Seu,-0.37915,39.47622
La Seu,-0.379189,39.47594
La Seu,-0.379298,39.47563
La Seu,-0.379284,39.4756
La Seu,-0.379124,39.47561
La Seu,-0.378781,39.4756
La Seu,-0.378583,39.47564
La Seu,-0.378461,39.47566
La Seu,-0.378282,39.47569
La Seu,-0.378108,39.47565
La Seu,-0.377892,39.47561
La Seu,-0.377715,39.47556
La Seu,-0.377667,39.47537
La Seu,-0.376867,39.47536
La Seu,-0.376928,39.47502
La Seu,-0.377047,39.47438
La Seu,-0.376819,39.47421
La Seu,-0.376723,39.47399
La Seu,-0.376711,39.47391
La Seu,-0.375627,39.47379
La Seu,-0.375623,39.47379
La Seu,-0.374818,39.47364
La Seu,-0.374242,39.47354
La Seu,-0.374186,39.47354
La Seu,-0.374202,39.47391
La Seu,-0.374553,39.47401
La Seu,-0.374382,39.47435
La Seu,-0.374271,39.47446
La Seu,-0.374243,39.47452
La Seu,-0.374193,39.47472
La Seu,-0.37414,39.47485
La Seu,-0.373813,39.47539
La Seu,-0.373674,39.47536
La Seu,-0.373573,39.47549
La Seu,-0.37354,39.47561
La Seu,-0.37346,39.47589
La Seu,-0.373444,39.47631
La Seu,-0.373237,39.47628
La Seu,-0.373124,39.47663
La Seu,-0.372963,39.47682
La Seu,-0.372923,39.47694
La Seu,-0.371627,39.47675
La Seu,-0.371249,39.4771
La Seu,-0.370837,39.47777
La Seu,-0.370406,39.47848
La Seu,-0.371316,39.4789
La Seu,-0.372102,39.47971
La Seu,-0.372747,39.48
La Seu,-0.37318,39.48024
La Seu,-0.373524,39.48043
La Seu,-0.373611,39.4805
Sant Francesc,-0.379736,39.47199
Sant Francesc,-0.37971,39.47125
Sant Francesc,-0.380649,39.47099
Sant Francesc,-0.381237,39.47087
Sant Francesc,-0.382049,39.47094
Sant Francesc,-0.382712,39.47093
Sant Francesc,-0.38361,39.47064
Sant Francesc,-0.383432,39.47036
Sant Francesc,-0.383407,39.47035
Sant Francesc,-0.382377,39.46959
Sant Francesc,-0.381346,39.46879
Sant Francesc,-0.380574,39.46851
Sant Francesc,-0.379966,39.46827
Sant Francesc,-0.378526,39.46791
Sant Francesc,-0.376967,39.46755
Sant Francesc,-0.375592,39.46721
Sant Francesc,-0.374937,39.46716
Sant Francesc,-0.374915,39.46716
Sant Francesc,-0.374911,39.46715
Sant Francesc,-0.374827,39.46715
Sant Francesc,-0.374272,39.46753
Sant Francesc,-0.373777,39.46789
Sant Francesc,-0.372755,39.46862
Sant Francesc,-0.371901,39.46923
Sant Francesc,-0.371284,39.46971
Sant Francesc,-0.370478,39.47033
Sant Francesc,-0.369786,39.47088
Sant Francesc,-0.369449,39.47125
Sant Francesc,-0.368967,39.47179
Sant Francesc,-0.368964,39.47184
Sant Francesc,-0.369141,39.472
Sant Francesc,-0.369942,39.47228
Sant Francesc,-0.370151,39.47269
Sant Francesc,-0.370744,39.47283
Sant Francesc,-0.370897,39.47224
Sant Francesc,-0.371622,39.47235
Sant Francesc,-0.371833,39.47147
Sant Francesc,-0.372508,39.47151
Sant Francesc,-0.373768,39.47186
Sant Francesc,-0.374231,39.4719
Sant Francesc,-0.374385,39.47194
Sant Francesc,-0.374645,39.47185
Sant Francesc,-0.375116,39.47151
Sant Francesc,-0.375308,39.47136
Sant Francesc,-0.375561,39.4721
Sant Francesc,-0.375561,39.47228
Sant Francesc,-0.37552,39.47258
Sant Francesc,-0.375427,39.47272
Sant Francesc,-0.375324,39.47287
Sant Francesc,-0.375239,39.47301
Sant Francesc,-0.374761,39.47285
Sant Francesc,-0.374446,39.47274
Sant Francesc,-0.374368,39.47293
Sant Francesc,-0.374268,39.47315
Sant Francesc,-0.374244,39.47354
Sant Francesc,-0.374816,39.47364
Sant Francesc,-0.375457,39.47376
Sant Francesc,-0.375623,39.47379
Sant Francesc,-0.375627,39.47379
Sant Francesc,-0.376585,39.47254
Sant Francesc,-0.377535,39.4713
Sant Francesc,-0.377793,39.47096
Sant Francesc,-0.378465,39.47142
Sant Francesc,-0.378894,39.47162
Sant Francesc,-0.379214,39.47187
Sant Francesc,-0.379653,39.47198
Sant Francesc,-0.379736,39.47199
Jaume Roig,-0.36636,39.47941
Jaume Roig,-0.365925,39.47929
Jaume Roig,-0.365156,39.47906
Jaume Roig,-0.364471,39.48041
Jaume Roig,-0.363001,39.47997
Jaume Roig,-0.361244,39.47944
Jaume Roig,-0.360717,39.48054
Jaume Roig,-0.360062,39.481
Jaume Roig,-0.359897,39.48112
Jaume Roig,-0.359504,39.48141
Jaume Roig,-0.360379,39.48204
