NEIGHBORHOOD,GEO_SHAPE,REAL_ESTATE_TOTAL,UNITPRICE_MEAN,PRICE_MEAN,AGE_MEAN,QUALITY_MEAN
La Seu,"MULTIPOLYGON (((-0.373611 39.4805, -0.374036 39.47998, -0.374526 39.47938, -0.374808 39.47902, -0.374887 39.47897, -0.376133 39.47896, -0.37686 39.4774, -0.376889 39.47732, -0.376875 39.47661, -0.378275 39.47665, -0.378982 39.47657, -0.379086 39.47656, -0.379156 39.47655, -0.37915 39.47622, -0.379189 39.47594, -0.379298 39.47563, -0.379284 39.4756, -0.379124 39.47561, -0.378781 39.4756, -0.378583 39.47564, -0.378461 39.47566, -0.378282 39.47569, -0.378108 39.47565, -0.377892 39.47561, -0.377715 39.47556, -0.377667 39.47537, -0.376867 39.47536, -0.376928 39.47502, -0.377047 39.47438, -0.376819 39.47421, -0.376723 39.47399, -0.376711 39.47391, -0.375627 39.47379, -0.375623 39.47379, -0.374818 39.47364, -0.374242 39.47354, -0.374186 39.47354, -0.374202 39.47391, -0.374553 39.47401, -0.374382 39.47435, -0.374271 39.47446, -0.374243 39.47452, -0.374193 39.47472, -0.37414 39.47485, -0.373813 39.47539, -0.373674 39.47536, -0.373573 39.47549, -0.37354 39.47561, -0.37346 39.47589, -0.373444 39.47631, -0.373237 39.47628, -0.373124 39.47663, -0.372963 39.47682, -0.372923 39.47694, -0.371627 39.47675, -0.371249 39.4771, -0.370837 39.47777, -0.370406 39.47848, -0.371316 39.4789, -0.372102 39.47971, -0.372747 39.48, -0.37318 39.48024, -0.373524 39.48043, -0.373611 39.4805)))",250,2764.64,324652.0,73.0,4.76
Sant Francesc,"MULTIPOLYGON (((-0.379736 39.47199, -0.37971 39.47125, -0.380649 39.47099, -0.381237 39.47087, -0.382049 39.47094, -0.382712 39.47093, -0.38361 39.47064, -0.383432 39.47036, -0.383407 39.47035, -0.382377 39.46959, -0.381346 39.46879, -0.380574 39.46851, -0.379966 39.46827, -0.378526 39.46791, -0.376967 39.46755, -0.375592 39.46721, -0.374937 39.46716, -0.374915 39.46716, -0.374911 39.46715, -0.374827 39.46715, -0.374272 39.46753, -0.373777 39.46789, -0.372755 39.46862, -0.371901 39.46923, -0.371284 39.46971, -0.370478 39.47033, -0.369786 39.47088, -0.369449 39.47125, -0.368967 39.47179, -0.368964 39.47184, -0.369141 39.472, -0.369942 39.47228, -0.370151 39.47269, -0.370744 39.47283, -0.370897 39.47224, -0.371622 39.47235, -0.371833 39.47147, -0.372508 39.47151, -0.373768 39.47186, -0.374231 39.4719, -0.374385 39.47194, -0.374645 39.47185, -0.375116 39.47151, -0.375308 39.47136, -0.375561 39.4721, -0.375561 39.47228, -0.37552 39.47258, -0.375427 39.47272, -0.375324 39.47287, -0.375239 39.47301, -0.374761 39.47285, -0.374446 39.47274, -0.374368 39.47293, -0.374268 39.47315, -0.374244 39.47354, -0.374816 39.47364, -0.375457 39.47376, -0.375623 39.47379, -0.375627 39.47379, -0.376585 39.47254, -0.377535 39.4713, -0.377793 39.47096, -0.378465 39.47142, -0.378894 39.47162, -0.379214 39.47187, -0.379653 39.47198, -0.379736 39.47199)))",833,3033.89,496545.0180072029,67.0,3.14
Jaume Roig,"MULTIPOLYGON (((-0.36636 39.47941, -0.365925 39.47929, -0.365156 39.47906, -0.364471 39.48041, -0.363001 39.47997, -0.361244 39.47944, -0.360717 39.48054, -0.360062 39.481, -0.359897 39.48112, -0.359504 39.48141, -0.360379 39.48204, -0.36115 39.48259, -0.362818 39.48377, -0.362333 39.48481, -0.362749 39.48491, -0.363584 39.48513, -0.363628 39.48506, -0.363735 39.48484, -0.36405 39.48421, -0.364417 39.48348, -0.364614 39.48309, -0.36523 39.48176, -0.365616 39.48095, -0.36636 39.47941)))",234,2410.74,470508.547008547,52.0,3.44
La Roqueta,"MULTIPOLYGON (((-0.384185 39.46927, -0.384038 39.46905, -0.383303 39.468, -0.382562 39.46694, -0.381836 39.46589, -0.381189 39.46496, -0.380579 39.46399, -0.380121 39.46348, -0.379607 39.46326, -0.378445 39.46317, -0.378017 39.46454, -0.377164 39.46695, -0.376959 39.46755, -0.378496 39.4679, -0.379968 39.46827, -0.380558 39.4685, -0.381346 39.46879, -0.382061 39.46934, -0.382357 39.46957, -0.382632 39.46978, -0.383407 39.47035, -0.383419 39.47033, -0.383579 39.47013, -0.383822 39.46977, -0.384017 39.46949, -0.38407 39.46941, -0.38415 39.46931, -0.384185 39.46927)))",389,2140.97,262383.03341902315,73.0,4.97
Les Tendetes,"MULTIPOLYGON (((-0.382675 39.4823, -0.381978 39.4826, -0.382084 39.48291, -0.383137 39.48365, -0.383738 39.48406, -0.385177 39.48505, -0.385636 39.48537, -0.386359 39.48591, -0.387037 39.48645, -0.387213 39.48637, -0.387982 39.48606, -0.388179 39.48603, -0.388244 39.48562, -0.38824 39.48538, -0.388867 39.48511, -0.38799 39.48389, -0.388605 39.48361, -0.388813 39.48339, -0.387349 39.48132, -0.386777 39.48052, -0.386448 39.48067, -0.385526 39.48107, -0.384404 39.48157, -0.383963 39.48177, -0.383771 39.48185, -0.382675 39.4823)))",151,1271.15,106721.85430463577,59.0,6.44
Marxalenes,"MULTIPOLYGON (((-0.380438 39.483, -0.378967 39.4829, -0.378803 39.48422, -0.378627 39.48528, -0.378522 39.4856, -0.378089 39.48631, -0.378226 39.48633, -0.378774 39.48638, -0.378966 39.48645, -0.37943 39.48768, -0.380897 39.4874, -0.381563 39.48728, -0.383477 39.4882, -0.383744 39.48832, -0.383958 39.48842, -0.385538 39.48913, -0.385739 39.48921, -0.385916 39.48928, -0.386175 39.48938, -0.387067 39.48918, -0.388704 39.48881, -0.38945 39.48864, -0.389523 39.48863, -0.388157 39.48735, -0.388006 39.48723, -0.387037 39.48645, -0.386321 39.48589, -0.385654 39.48539, -0.385271 39.48512, -0.384508 39.48459, -0.383208 39.4837, -0.382084 39.48291, -0.381978 39.4826, -0.380438 39.483)))",341,1319.19,123870.96774193548,52.0,5.77
Nou Moles,"MULTIPOLYGON (((-0.396267 39.47562, -0.396878 39.47647, -0.397349 39.47625, -0.39795 39.47604, -0.399436 39.47572, -0.403244 39.47511, -0.405241 39.47474, -0.405909 39.47439, -0.405602 39.47313, -0.405467 39.47217, -0.405243 39.47109, -0.405339 39.47047, -0.405687 39.46979, -0.405034 39.46965, -0.402685 39.46932, -0.399788 39.46877, -0.398127 39.46847, -0.396003 39.46807, -0.395493 39.46796, -0.394388 39.46776, -0.393449 39.46759, -0.392588 39.46744, -0.390068 39.46703, -0.390765 39.46797, -0.391546 39.46905, -0.392531 39.47041, -0.393343 39.47154, -0.395128 39.47403, -0.395769 39.47494, -0.396267 39.47562)))",1294,1319.15,137438.94899536323,53.0,5.48
Russafa,"MULTIPOLYGON (((-0.376959 39.46755, -0.377793 39.46515, -0.378445 39.46317, -0.378922 39.46175, -0.379359 39.46044, -0.380044 39.45849, -0.380608 39.45683, -0.380673 39.45659, -0.380843 39.45578, -0.380881 39.45534, -0.379608 39.45533, -0.377679 39.45611, -0.375794 39.4569, -0.375436 39.45707, -0.374239 39.45758, -0.37037 39.45924, -0.369157 39.45975, -0.367094 39.46063, -0.366322 39.46096, -0.36445 39.46175, -0.363226 39.46226, -0.362531 39.46254, -0.36503 39.46308, -0.368364 39.46381, -0.370965 39.46439, -0.373091 39.46485, -0.373916 39.46507, -0.374223 39.46569, -0.374915 39.46716, -0.375591 39.46721, -0.376421 39.46742, -0.376959 39.46755)))",1311,2293.33,250070.1754385965,71.0,5.07
El Cabanyal-El Canyamelar,"MULTIPOLYGON (((-0.33049 39.46288, -0.3296 39.46279, -0.329269 39.46285, -0.328516 39.46299, -0.328251 39.46304, -0.327923 39.46308, -0.326976 39.46316, -0.326054 39.46316, -0.325447 39.46316, -0.323675 39.46308, -0.321822 39.46302, -0.319519 39.46298, -0.319672 39.46373, -0.320264 39.46524, -0.321145 39.46778, -0.321669 39.46948, -0.321953 39.47082, -0.322139 39.47197, -0.32256 39.47466, -0.323699 39.47462, -0.325411 39.47453, -0.326046 39.4746, -0.327595 39.47472, -0.329034 39.47509, -0.330457 39.47553, -0.331428 39.47582, -0.333398 39.47637, -0.333456 39.47608, -0.33354 39.47564, -0.333805 39.47431, -0.3341 39.4728, -0.334426 39.47114, -0.33475 39.46959, -0.334876 39.4685, -0.334954 39.46805, -0.335019 39.46767, -0.335092 39.46723, -0.33518 39.46692, -0.335234 39.46668, -0.335384 39.46597, -0.335509 39.46565, -0.335767 39.46506, -0.335936 39.46469, -0.336385 39.46399, -0.336641 39.46368, -0.336452 39.46362, -0.335799 39.4635, -0.335258 39.46342, -0.334291 39.46329, -0.333724 39.46322, -0.333437 39.46319, -0.333104 39.46316, -0.332516 39.46306, -0.331678 39.46296, -0.331088 39.46291, -0.33049 39.46288)))",988,1531.13,134241.9028340081,65.0,6.45
La Llum,"MULTIPOLYGON (((-0.415437 39.46767, -0.414988 39.46694, -0.414013 39.46665, -0.412544 39.46675, -0.411541 39.46653, -0.411969 39.46591, -0.40999 39.46605, -0.410093 39.46713, -0.410504 39.46972, -0.413371 39.46952, -0.414054 39.46947, -0.414494 39.46943, -0.415397 39.46935, -0.41726 39.46918, -0.418045 39.46912, -0.417625 39.46861, -0.415437 39.46767)))",171,1314.37,135374.26900584795,45.0,5.27
